"ti"	"ti_anc"	"terminal_flag"	"rank_flag"	"model"	"taxon_name"	"common_name"	"rank"	"n_gi_node"	"n_gi_sub_nonmodel"	"n_gi_sub_model"	"n_clust_node"	"n_clust_sub"	"n_PIclust_sub"	"n_sp_desc"	"n_sp_model"	"n_leaf_desc"	"n_otu_desc"	"ti_genus"	"n_genera"
519040	49442	NA	1	NA	"Rhinolophus ruwenzorii"	"Ruwenzori horseshoe bat"	"species"	2	2	0	NA	NA	NA	1	0	1	1	49442	0
519041	49442	NA	1	NA	"Bushveld horseshoe bat"	"Bushveld horseshoe bat"	"species"	94	94	0	NA	NA	NA	1	0	1	1	49442	0
519447	49442	NA	1	NA	"Rhinolophus sp. 1 KS-2008"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
519449	49442	NA	1	NA	"Rhinolophus sp. 2 KS-2008"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
526812	49442	NA	1	NA	"Peninsular horseshoe bat"	"Peninsular horseshoe bat"	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
545503	49442	NA	1	NA	"Rhinolophus subrufus"	"Small rufous horseshot bat"	"species"	3	3	0	NA	NA	NA	1	0	1	1	49442	0
545504	49442	NA	1	NA	"Large rufous horseshoe bat"	"Large rufous horseshoe bat"	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
556920	49442	NA	1	NA	"Bedomme's horseshoe bat"	"Bedomme's horseshoe bat"	"species"	4	4	0	NA	NA	NA	1	0	1	1	49442	0
563833	49442	NA	1	NA	"Rhinolophus sp. ROM 117760"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	49442	0
608656	49442	NA	1	NA	"Dent's horseshoe bat"	"Dent's horseshoe bat"	"species"	52	52	0	NA	NA	NA	1	0	1	1	49442	0
608657	49442	NA	1	NA	"Maclaud's horseshoe bat"	"Maclaud's horseshoe bat"	"species"	4	4	0	NA	NA	NA	1	0	1	1	49442	0
608659	49442	NA	1	NA	"Malayan horseshoe bat"	"Malayan horseshoe bat"	"species"	42	42	0	NA	NA	NA	1	0	1	1	49442	0
608708	49442	NA	1	NA	"Rhinolophus shameli"	"Shamel's horseshoe bat"	"species"	48	48	0	NA	NA	NA	1	0	1	1	49442	0
608709	49442	NA	1	NA	"Rhinolophus swinnyi"	"Swinny's horseshoe bat"	"species"	45	45	0	NA	NA	NA	1	0	1	1	49442	0
641287	49442	NA	1	NA	"Rhinolophus sp. GZNU20080502002"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
692277	49442	NA	1	NA	"Rhinolophus sp. HHS-2009a"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
867885	49442	NA	1	NA	"Rhinolophus JLE sp. B"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	49442	0
867886	49442	NA	1	NA	"Rhinolophus cf. ferrumequinum CMF-2010"	NA	"species"	8	8	0	NA	NA	NA	1	0	1	1	49442	0
867887	49442	NA	1	NA	"Rhinolophus cf. lepidus CMF-2010"	NA	"species"	4	4	0	NA	NA	NA	1	0	1	1	49442	0
867888	49442	NA	1	NA	"Rhinolophus cf. pusillus CMF-2010"	NA	"species"	40	40	0	NA	NA	NA	1	0	1	1	49442	0
867889	49442	NA	1	NA	"Rhinolophus cf. thomasi CMF-2010"	NA	"species"	67	67	0	NA	NA	NA	1	0	1	1	49442	0
867890	49442	NA	1	NA	"Rhinolophus borneensis chaseni"	NA	"species"	13	13	0	NA	NA	NA	1	0	1	1	49442	0
867891	49442	NA	1	NA	"Croslet horseshoe bat"	"Croslet horseshoe bat"	"species"	4	4	0	NA	NA	NA	1	0	1	1	49442	0
867892	49442	NA	1	NA	"Rhinolophus siamensis"	"Thai horseshoe bat"	"species"	6	6	0	NA	NA	NA	1	0	1	1	49442	0
1001579	49442	NA	1	NA	"Rhinolophus cf. lepidus"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	49442	0
1001581	49442	NA	1	NA	"Rhinolophus sp. AVB-2011"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	49442	0
1002349	49442	NA	1	NA	"Rhinolophus sp. IVK-2011"	NA	"species"	48	48	0	NA	NA	NA	1	0	1	1	49442	0
1007694	49442	NA	1	NA	"Rhinolophus cf. chaseni BOLD:AAB4878"	NA	"species"	6	6	0	NA	NA	NA	1	0	1	1	49442	0
1007695	49442	NA	1	NA	"Rhinolophus cf. pusillus BOLD:AAB9127"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	49442	0
1078801	49442	NA	1	NA	"Rhinolophus celebensis"	"Sulawesi horseshoe bat"	"species"	16	16	0	NA	NA	NA	1	0	1	1	49442	0
1078802	49442	NA	1	NA	"Rhinolophus virgo"	"yellow-faced horseshoe bat"	"species"	6	6	0	NA	NA	NA	1	0	1	1	49442	0
1078804	49442	NA	1	NA	"Philippine forest horseshoe bat"	"Philippine forest horseshoe bat"	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
1078817	49442	NA	1	NA	"Rhinolophus sp. LEP-2011"	NA	"species"	19	19	0	NA	NA	NA	1	0	1	1	49442	0
1078820	49442	NA	1	NA	"Rhinolophus inops or arcuatus"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	49442	0
1078825	49442	NA	1	NA	"Rhinolophus inops or subrufus"	NA	"species"	6	6	0	NA	NA	NA	1	0	1	1	49442	0
1078826	49442	NA	1	NA	"Rhinolophus subrufus or arcuatus"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
1133290	49442	NA	1	NA	"Rhinolophus sp. 1 XY-2012"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	49442	0
1133291	49442	NA	1	NA	"Rhinolophus sp. 2 XY-2012"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	49442	0
1154687	49442	NA	1	NA	"Rhinolophus cf. chaseni SVK-2012"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	49442	0
1158970	49442	NA	1	NA	"Rhinolophus sp. BOLD:AAB4878"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
1232899	49442	NA	1	NA	"Rhinolophus cf. hildebrandti"	NA	"species"	58	58	0	NA	NA	NA	1	0	1	1	49442	0
1332270	49442	NA	1	NA	"Rhinolophus sp. 1 PV-2013"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	49442	0
1548709	49442	NA	1	NA	"Andaman horseshoe bat"	"Andaman horseshoe bat"	"species"	1	1	0	NA	NA	NA	1	0	1	1	49442	0
1704492	49442	NA	1	NA	"Rhinolophus luctus morio"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	49442	0
1704495	49442	NA	1	NA	"Rhinolophus luctoides"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	49442	0
1871414	49442	NA	1	NA	"Rhinolophus monticolus"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	49442	0
1871418	49442	NA	1	NA	"Rhinolophus shortridgei"	"Shortridge's horseshoe bat"	"species"	6	6	0	NA	NA	NA	1	0	1	1	49442	0
1939661	49442	NA	1	NA	"Rhinolophus cf. simulator SJP-2016"	NA	"species"	34	34	0	NA	NA	NA	1	0	1	1	49442	0
49442	186995	NA	1	NA	"Rhinolophus"	"horseshoe bats"	"genus"	0	9978	167212	NA	NA	NA	95	2	100	106	49442	0
186995	58055	NA	1	NA	"Rhinolophinae"	NA	"subfamily"	0	9978	167212	NA	NA	NA	95	2	100	107	NA	1
1296576	1296575	NA	1	NA	"Rhinolophidae sp. BOLD:AAB6249"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	58055	0
1296577	1296575	NA	1	NA	"Rhinolophidae sp. BOLD:AAD3329"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	58055	0
1296578	1296575	NA	1	NA	"Rhinolophidae sp. BOLD:AAB9127"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	58055	0
1296579	1296575	NA	1	NA	"Rhinolophidae sp. SMM045-12"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	58055	0
1296575	58055	NA	0	NA	"unclassified Rhinolophidae"	NA	"no rank"	0	5	0	NA	NA	NA	4	0	4	5	NA	0
58055	30560	NA	1	NA	"Old World leaf-nosed bats"	"Old World leaf-nosed bats"	"family"	0	9983	167212	NA	NA	NA	99	2	104	113	NA	1
68409	68408	NA	1	NA	"Moschus berezovskii caobangis"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	68410	0
68411	68408	NA	1	NA	"Moschus berezovskii bijiangensis"	NA	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	68410	0
68408	68410	NA	1	NA	"Chinese forest musk deer"	"Chinese forest musk deer"	"species"	350	350	0	NA	NA	NA	1	0	2	3	68410	0
68412	68410	NA	1	NA	"Moschus chrysogaster"	"alpine musk deer"	"species"	80	80	0	NA	NA	NA	1	0	1	1	68410	0
68413	68410	NA	1	NA	"Moschus fuscus"	"dusky musk deer"	"species"	7	7	0	NA	NA	NA	1	0	1	1	68410	0
68414	68410	NA	1	NA	"Moschus leucogaster"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	68410	0
68415	68410	NA	1	NA	"Moschus moschiferus"	"Siberian musk deer"	"species"	180	180	0	NA	NA	NA	1	0	1	1	68410	0
84704	68410	NA	1	NA	"Moschus sp."	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	68410	0
363602	68410	NA	1	NA	"Moschus sp. CAM-2005"	NA	"species"	4	4	0	NA	NA	NA	1	0	1	1	68410	0
475978	68410	NA	1	NA	"Moschus sp. JEG-2007"	NA	"species"	7	7	0	NA	NA	NA	1	0	1	1	68410	0
648175	68410	NA	1	NA	"Moschus sp. NAA-2009a"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	68410	0
673884	68410	NA	1	NA	"Moschus sp. JG34"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	68410	0
906840	68410	NA	1	NA	"Moschus sp. NYSZ-Bu75"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	68410	0
1088704	68410	NA	1	NA	"Moschus sp. RWM-2011"	NA	"species"	10	10	0	NA	NA	NA	1	0	1	1	68410	0
1267572	68410	NA	1	NA	"Anhui musk deer"	"Anhui musk deer"	"species"	3	3	0	NA	NA	NA	1	0	1	1	68410	0
68410	30533	NA	1	NA	"Moschus"	NA	"genus"	0	650	0	NA	NA	NA	13	0	14	16	68410	0
30533	35500	NA	1	NA	"Moschidae"	"musk deer"	"family"	0	650	0	NA	NA	NA	13	0	14	17	NA	1
148082	148081	NA	1	NA	"Furipterus horrens"	NA	"species"	47	47	0	NA	NA	NA	1	0	1	1	148081	0
148081	148080	NA	1	NA	"Furipterus"	NA	"genus"	0	47	0	NA	NA	NA	1	0	1	2	148081	0
148080	30560	NA	1	NA	"Furipteridae"	NA	"family"	0	47	0	NA	NA	NA	1	0	1	3	NA	1
48898	48897	NA	1	NA	"Hylomys suillus siamensis"	NA	"subspecies"	5	5	0	NA	NA	NA	0	0	1	1	48896	0
48899	48897	NA	1	NA	"Hylomys suillus microtinus"	NA	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	48896	0
48900	48897	NA	1	NA	"Hylomys suillus maxi"	NA	"subspecies"	4	4	0	NA	NA	NA	0	0	1	1	48896	0
48901	48897	NA	1	NA	"Hylomys suillus suillus"	NA	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	48896	0
48902	48897	NA	1	NA	"Hylomys suillus dorsalis"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	48896	0
48897	48896	NA	1	NA	"Hylomys suillus"	"short-tailed gymnure"	"species"	25	25	0	NA	NA	NA	1	0	5	6	48896	0
136086	48896	NA	1	NA	"Hylomys parvus"	"dwarf gymnure"	"species"	12	12	0	NA	NA	NA	1	0	1	1	48896	0
1543302	48896	NA	1	NA	"Hylomys megalotis"	"long-eared gymnure"	"species"	10	10	0	NA	NA	NA	1	0	1	1	48896	0
1543303	48896	NA	1	NA	"Hylomys sp. AAB-2014"	NA	"species"	2	2	0	NA	NA	NA	1	0	1	1	48896	0
1795319	48896	NA	1	NA	"Hylomys cf. suillus JJS-2016"	NA	"species"	8	8	0	NA	NA	NA	1	0	1	1	48896	0
48896	9366	NA	1	NA	"Hylomys"	NA	"genus"	0	57	0	NA	NA	NA	5	0	9	11	48896	0
48905	48904	NA	1	NA	"Mindanao gymnure"	"Mindanao gymnure"	"species"	32	32	0	NA	NA	NA	1	0	1	1	48904	0
48904	9366	NA	1	NA	"Podogymnura"	NA	"genus"	0	32	0	NA	NA	NA	1	0	1	2	48904	0
162630	162629	NA	1	NA	"Echinosorex gymnura"	NA	"species"	9	9	0	NA	NA	NA	1	0	1	1	162629	0
162629	9366	NA	1	NA	"Echinosorex"	NA	"genus"	0	9	0	NA	NA	NA	1	0	1	2	162629	0
483536	483535	NA	1	NA	"Hainan gymnure"	"Hainan gymnure"	"species"	13	13	0	NA	NA	NA	1	0	1	1	483535	0
483535	9366	NA	1	NA	"Neohylomys"	NA	"genus"	0	13	0	NA	NA	NA	1	0	1	2	483535	0
977878	977877	NA	1	NA	"Neotetracus sinensis"	"Shrew gymnure"	"species"	19	19	0	NA	NA	NA	1	0	1	1	977877	0
977877	9366	NA	1	NA	"Neotetracus"	NA	"genus"	0	19	0	NA	NA	NA	1	0	1	2	977877	0
9366	9363	NA	1	NA	"Echinosoricinae"	"gymnures"	"subfamily"	0	130	0	NA	NA	NA	9	0	13	20	NA	5
9365	9364	NA	1	NA	"Erinaceous europaeus"	"European hedgehog"	"species"	199634	0	199634	NA	NA	NA	1	1	1	1	9364	0
186445	37316	NA	1	NA	"Erinaceus concolor nesiotes"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	9364	0
37316	9364	NA	1	NA	"Erinaceus concolor"	"southern white-breasted hedgehog"	"species"	128	128	0	NA	NA	NA	1	0	1	2	9364	0
61237	9364	NA	1	NA	"Erinaceus sp."	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	9364	0
105687	9364	NA	1	NA	"Erinaceus ecaudatus"	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	9364	0
743785	9364	NA	1	NA	"Erinaceus sp. 'Ito, Shizuoka'"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	9364	0
743786	9364	NA	1	NA	"Erinaceus sp. 'Odawara, Kanagawa'"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	9364	0
757341	9364	NA	1	NA	"Amur hedgehog"	"Amur hedgehog"	"species"	41	41	0	NA	NA	NA	1	0	1	1	9364	0
1052165	9364	NA	1	NA	"Erinaceus concolor roumanicus"	"Northern white-breasted hedgehog"	"species"	84	84	0	NA	NA	NA	1	0	1	1	9364	0
9364	30577	NA	1	NA	"Erinaceus"	NA	"genus"	0	258	199634	NA	NA	NA	8	1	8	10	9364	0
9368	9367	NA	1	NA	"Atelerix albiventris"	"four-toed hedgehog"	"species"	45	45	0	NA	NA	NA	1	0	1	1	9367	0
30576	9367	NA	1	NA	"Aethechinus algirus"	"Algerian hedgehog"	"species"	141	141	0	NA	NA	NA	1	0	1	1	9367	0
1506268	9367	NA	1	NA	"Atelerix frontalis"	"southern African hedgehog"	"species"	8	8	0	NA	NA	NA	1	0	1	1	9367	0
9367	30577	NA	1	NA	"Aethechinus"	NA	"genus"	0	194	0	NA	NA	NA	3	0	3	4	9367	0
217708	30578	NA	1	NA	"Hemiechinus auritus"	"long-eared hedgehog"	"species"	43	43	0	NA	NA	NA	1	0	1	1	30578	0
30578	30577	NA	1	NA	"Hemiechinus"	NA	"genus"	0	43	0	NA	NA	NA	1	0	1	2	30578	0
473034	262775	NA	1	NA	"Paraechinus aethiopicus deserti"	NA	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	30579	0
262775	30579	NA	1	NA	"Desert hedgehog"	"Desert hedgehog"	"species"	50	50	0	NA	NA	NA	1	0	1	2	30579	0
1543301	30579	NA	1	NA	"Brandt's hedgehog"	"Brandt's hedgehog"	"species"	18	18	0	NA	NA	NA	1	0	1	1	30579	0
30579	30577	NA	1	NA	"Paraechinus"	NA	"genus"	0	68	0	NA	NA	NA	2	0	2	4	30579	0
111452	111451	NA	1	NA	"Daurian hedgehog"	"Daurian hedgehog"	"species"	39	39	0	NA	NA	NA	1	0	1	1	111451	0
1756611	977876	NA	1	NA	"Mesechinus hughi miodon"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	111451	0
977876	111451	NA	1	NA	"Hemiechinus hughi"	"Hugh's hedgehog"	"species"	8	8	0	NA	NA	NA	1	0	1	2	111451	0
111451	30577	NA	1	NA	"Mesechinus"	NA	"genus"	0	47	0	NA	NA	NA	2	0	2	4	111451	0
30577	9363	NA	1	NA	"Erinaceinae"	"spiny hedgehogs"	"subfamily"	0	610	199634	NA	NA	NA	16	1	16	25	NA	5
9363	9362	NA	1	NA	"Erinaceidae"	"hedgehogs"	"family"	0	740	199634	NA	NA	NA	25	1	29	46	NA	10
101655	9927	NA	1	NA	"Connochaetes taurinus albojubatus"	NA	"subspecies"	11	11	0	NA	NA	NA	0	0	1	1	9926	0
101656	9927	NA	1	NA	"Connochaetes taurinus cooksoni"	NA	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	9926	0
101657	9927	NA	1	NA	"Connochaetes taurinus johnstoni"	NA	"subspecies"	5	5	0	NA	NA	NA	0	0	1	1	9926	0
101658	9927	NA	1	NA	"Connochaetes taurinus mearnsi"	NA	"subspecies"	37	37	0	NA	NA	NA	0	0	1	1	9926	0
101659	9927	NA	1	NA	"Connochaetes taurinus taurinus"	NA	"subspecies"	44	44	0	NA	NA	NA	0	0	1	1	9926	0
9927	9926	NA	1	NA	"Connochaetes taurinus"	"blue wildebeest"	"species"	77	77	0	NA	NA	NA	1	0	5	6	9926	0
59528	9926	NA	1	NA	"Connochaetes gnou"	"black wildebeest"	"species"	27	27	0	NA	NA	NA	1	0	1	1	9926	0
1235508	9926	NA	1	NA	"Connochaetes sp."	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	9926	0
9926	37170	NA	1	NA	"Connochaetes"	NA	"genus"	0	107	0	NA	NA	NA	3	0	7	9	9926	0
9930	9929	NA	1	NA	"Damaliscus korrigum"	"korrigum sassaby"	"subspecies"	0	0	0	NA	NA	NA	0	0	1	1	9928	0
59546	9929	NA	1	NA	"Damaliscus lunatus jimela"	NA	"subspecies"	43	43	0	NA	NA	NA	0	0	1	1	9928	0
59547	9929	NA	1	NA	"Damaliscus lunatus lunatus"	NA	"subspecies"	12	12	0	NA	NA	NA	0	0	1	1	9928	0
9929	9928	NA	1	NA	"Damaliscus lunatus"	"topi"	"species"	24	24	0	NA	NA	NA	1	0	3	4	9928	0
37171	9931	NA	1	NA	"Damaliscus dorcas dorcas"	"bontebok"	"subspecies"	2	2	0	NA	NA	NA	0	0	1	1	9928	0
37172	9931	NA	1	NA	"Damaliscus dorcas phillipsi"	"blesbok"	"subspecies"	43	43	0	NA	NA	NA	0	0	1	1	9928	0
143918	9931	NA	1	NA	"Damaliscus pygargus pygargus"	NA	"subspecies"	17	17	0	NA	NA	NA	0	0	1	1	9928	0
9931	9928	NA	1	NA	"Damaliscus dorcas"	NA	"species"	34	34	0	NA	NA	NA	1	0	3	4	9928	0
9928	37170	NA	1	NA	"Damaliscus"	NA	"genus"	0	58	0	NA	NA	NA	2	0	6	9	9928	0
59518	59517	NA	1	NA	"Alcelaphus buselaphus jacksoni"	NA	"subspecies"	3	3	0	NA	NA	NA	0	0	1	1	59516	0
101644	59517	NA	1	NA	"Alcelaphus buselaphus cokei"	NA	"subspecies"	20	20	0	NA	NA	NA	0	0	1	1	59516	0
101645	59517	NA	1	NA	"Alcelaphus buselaphus lelwel"	NA	"subspecies"	19	19	0	NA	NA	NA	0	0	1	1	59516	0
101648	59517	NA	1	NA	"Alcelaphus buselaphus major"	NA	"subspecies"	14	14	0	NA	NA	NA	0	0	1	1	59516	0
101649	59517	NA	1	NA	"Alcelaphus buselaphus swaynei"	NA	"subspecies"	28	28	0	NA	NA	NA	0	0	1	1	59516	0
141455	59517	NA	1	NA	"Alcelaphus buselaphus buselaphus"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	59516	0
141456	59517	NA	1	NA	"Alcelaphus buselaphus neumanni"	NA	"subspecies"	1	1	0	NA	NA	NA	0	0	1	1	59516	0
141457	59517	NA	1	NA	"Alcelaphus buselaphus tora"	NA	"subspecies"	6	6	0	NA	NA	NA	0	0	1	1	59516	0
59517	59516	NA	1	NA	"Alcelaphus buselaphus"	"hartebeest"	"species"	25	25	0	NA	NA	NA	1	0	8	9	59516	0
59519	59516	NA	1	NA	"Alcelaphus buselaphus caama"	"Red hartebeest"	"species"	18	18	0	NA	NA	NA	1	0	1	1	59516	0
59520	59516	NA	1	NA	"Alcelaphus buselaphus lichtenseini"	"Lichtenstein's hartebeest"	"species"	79	79	0	NA	NA	NA	1	0	1	1	59516	0
59516	37170	NA	1	NA	"Alcelaphus"	NA	"genus"	0	122	0	NA	NA	NA	3	0	10	12	59516	0
59527	59526	NA	1	NA	"Beatragus hunteri"	NA	"species"	12	12	0	NA	NA	NA	1	0	1	1	59526	0
59526	37170	NA	1	NA	"Beatragus"	NA	"genus"	0	12	0	NA	NA	NA	1	0	1	2	59526	0
37170	9895	NA	1	NA	"Alcelaphinae"	NA	"subfamily"	0	299	0	NA	NA	NA	9	0	24	33	NA	4
816535	727684	NA	1	NA	"Carnivora sp. BOLD:AAA1542"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816536	727684	NA	1	NA	"Carnivora sp. BOLD:AAA5637"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816537	727684	NA	1	NA	"Carnivora sp. BOLD:AAA7409"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816538	727684	NA	1	NA	"Carnivora sp. BOLD:AAB7882"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816539	727684	NA	1	NA	"Carnivora sp. BOLD:AAC2892"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816540	727684	NA	1	NA	"Carnivora sp. BOLD:AAC5230"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816541	727684	NA	1	NA	"Carnivora sp. BOLD:AAC5231"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816542	727684	NA	1	NA	"Carnivora sp. BOLD:AAC6751"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816543	727684	NA	1	NA	"Carnivora sp. BOLD:AAD0672"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816544	727684	NA	1	NA	"Carnivora sp. BOLD:AAD3317"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816545	727684	NA	1	NA	"Carnivora sp. BOLD:AAD7556"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816546	727684	NA	1	NA	"Carnivora sp. BOLD:AAE2544"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816547	727684	NA	1	NA	"Carnivora sp. BOLD:AAE9178"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816548	727684	NA	1	NA	"Carnivora sp. BOLD:AAF0193"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816549	727684	NA	1	NA	"Carnivora sp. BOLD:AAF4913"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816550	727684	NA	1	NA	"Carnivora sp. BOLD:AAJ1863"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816551	727684	NA	1	NA	"Carnivora sp. BOLD:AAJ7206"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
816552	727684	NA	1	NA	"Carnivora sp. BOLD:AAJ7207"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
915850	727684	NA	1	NA	"Carnivora sp. BOLD:AAJ1637"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
974056	727684	NA	1	NA	"Carnivora sp. BOLD:AAA9549"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
974057	727684	NA	1	NA	"Carnivora sp. BOLD:AAC5017"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
974058	727684	NA	1	NA	"Carnivora sp. BOLD:AAC8458"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
974059	727684	NA	1	NA	"Carnivora sp. BOLD:AAF1298"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
974060	727684	NA	1	NA	"Carnivora sp. BOLD:AAK7142"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
974061	727684	NA	1	NA	"Carnivora sp. BOLD:AAL2944"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
974062	727684	NA	1	NA	"Carnivora sp. BOLD:AAN3846"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
974063	727684	NA	1	NA	"Carnivora sp. BOLD:AAN3991"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
1067753	727684	NA	1	NA	"Carnivora sp. BOLD:AAA3869"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
1067754	727684	NA	1	NA	"Carnivora sp. BOLD:AAC0893"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
1067755	727684	NA	1	NA	"Carnivora sp. BOLD:AAC2404"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
1067756	727684	NA	1	NA	"Carnivora sp. BOLD:AAD6819"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
1067757	727684	NA	1	NA	"Carnivora sp. BOLD:AAE6246"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
1067758	727684	NA	1	NA	"Carnivora sp. BOLD:AAE7693"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
1067759	727684	NA	1	NA	"Carnivora sp. BOLD:AAU5960"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
1067760	727684	NA	1	NA	"Carnivora sp. BOLD:AAV6889"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	33554	0
727684	33554	NA	0	NA	"unclassified Carnivora"	NA	"no rank"	0	0	0	NA	NA	NA	35	0	35	36	NA	0
9837	9836	NA	1	NA	"Bactrian camel"	"Bactrian camel"	"species"	816434	0	816434	NA	NA	NA	1	1	1	1	9836	0
9838	9836	NA	1	NA	"Arabian camel"	"Arabian camel"	"species"	670289	0	670289	NA	NA	NA	1	1	1	1	9836	0
30536	9836	NA	1	NA	"Camelus sp."	NA	"species"	3	3	0	NA	NA	NA	1	0	1	1	9836	0
419612	9836	NA	1	NA	"Camelus bactrianus ferus"	"Wild Bactrian camel"	"species"	56019	0	56019	NA	NA	NA	1	1	1	1	9836	0
9836	9835	NA	1	NA	"Camelus"	NA	"genus"	0	3	1542742	NA	NA	NA	4	3	4	5	9836	0
273908	9840	NA	1	NA	"Lama guanicoe cacsilensis"	NA	"subspecies"	44	44	0	NA	NA	NA	0	0	1	1	9839	0
273909	9840	NA	1	NA	"Lama guanicoe voglii"	NA	"subspecies"	12	12	0	NA	NA	NA	0	0	1	1	9839	0
273910	9840	NA	1	NA	"Lama guanicoe huanacus"	NA	"subspecies"	87	87	0	NA	NA	NA	0	0	1	1	9839	0
273911	9840	NA	1	NA	"Lama guanicoe guanicoe"	NA	"subspecies"	92	92	0	NA	NA	NA	0	0	1	1	9839	0
